epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.70867,1.03634,3.34435,1.16071,0.02217,0.45429,0.03476,0.02491,0.75998,3.4501,0.982,0.000444533,0.000444533,0.000444533
2,9.55907,1.11879,3.43013,1.13869,0.02217,0.45429,0.03476,0.02491,0.75998,3.4501,0.982,0.000975445,0.000975445,0.000975445
3,10.175,0.75998,3.26265,0.97921,0.02217,0.45429,0.03476,0.02491,0.75998,3.4501,0.982,0.00147885,0.00147885,0.00147885
4,10.7211,1.01293,3.44076,1.09978,0.0197,0.39949,0.02823,0.02011,0.80168,3.47744,1.00848,0.00154323,0.00154323,0.00154323
5,11.3689,1.02209,3.43088,1.09043,0.0197,0.39949,0.02823,0.02011,0.80168,3.47744,1.00848,0.00150197,0.00150197,0.00150197
6,11.9775,1.04429,3.39507,1.15377,0.0197,0.39949,0.02823,0.02011,0.80168,3.47744,1.00848,0.00146071,0.00146071,0.00146071
7,12.6036,1.00873,3.41984,1.11254,0.01939,0.3883,0.02836,0.02143,0.84973,3.50876,1.04278,0.00141945,0.00141945,0.00141945
8,13.2574,0.99774,3.4347,1.10214,0.01939,0.3883,0.02836,0.02143,0.84973,3.50876,1.04278,0.00137819,0.00137819,0.00137819
9,13.8011,0.96504,3.38396,1.08356,0.01939,0.3883,0.02836,0.02143,0.84973,3.50876,1.04278,0.00133693,0.00133693,0.00133693
10,14.3217,1.01244,3.41748,1.08413,0.01931,0.38822,0.03382,0.02547,0.86984,3.50503,1.05897,0.00129568,0.00129568,0.00129568
11,14.8323,0.83934,3.2989,1.03287,0.01931,0.38822,0.03382,0.02547,0.86984,3.50503,1.05897,0.00125442,0.00125442,0.00125442
12,15.4184,0.99252,3.35104,1.0807,0.01931,0.38822,0.03382,0.02547,0.86984,3.50503,1.05897,0.00121316,0.00121316,0.00121316
13,16.0359,2.36364,3.32058,1.73341,0.01659,0.33763,0.01369,0.00273,3.10292,3.58648,2.20685,0.0011719,0.0011719,0.0011719
14,16.7353,2.75593,3.31367,1.86248,0.01659,0.33763,0.01369,0.00273,3.10292,3.58648,2.20685,0.00113064,0.00113064,0.00113064
15,17.5083,2.83539,3.41832,1.88583,0.01659,0.33763,0.01369,0.00273,3.10292,3.58648,2.20685,0.00108938,0.00108938,0.00108938
16,18.128,2.82121,3.28989,1.86836,0.01851,0.37483,0.01752,0.00367,3.06645,3.54247,2.12297,0.00104813,0.00104813,0.00104813
17,18.7881,2.81828,3.32918,1.965,0.01851,0.37483,0.01752,0.00367,3.06645,3.54247,2.12297,0.00100687,0.00100687,0.00100687
